"REP","ROTATION","YIELD","SLOPE","CV","resid","fit","SIG"
"1","CCaWwS",3.32743983884164,0.432929754132642,16.2124359006511,-0.0826601408175521,0.515589894950194,TRUE
"1","CCSSw",3.81027745153765,0.875435850600929,26.1526485602369,0.18630119586008,0.689134654740849,TRUE
"1","COWwS",3.958296875,0.504210338411462,16.340753636481,-0.238126458444395,0.742336796855856,TRUE
"1","CPWwS",3.71763059463839,0.586873113917114,18.3923525785294,-0.0689617810221617,0.655834894939276,FALSE
"1","CS",4.2161875,0.947262016856929,26.5806435519158,0.112232427660423,0.835029589196506,FALSE
"1","CSSwP",3.7638892431946,0.714999716002701,21.9005974522845,0.0425382247899855,0.672461491212715,FALSE
"1","CSSwS",3.432765625,0.548196207817645,18.3793562627605,-0.0052505934256448,0.55344680124329,FALSE
"2","CCaWwS",3.35901813819696,0.455442360363475,15.0118189406759,-0.0714976204791946,0.526939980842669,TRUE
"2","CCSSw",3.76684472330116,0.821607453771796,23.6695047607078,0.148083683913687,0.67352376985811,TRUE
"2","COWwS",4.02596875,0.557785671874477,17.3898541013052,-0.208874207903364,0.766659879777841,TRUE
"2","CPWwS",3.70930773830065,0.672474217921177,20.2516159364182,0.019630780287475,0.652843437633702,FALSE
"2","CS",3.97215625,0.750725756832638,22.6259762589121,0.00340752969467561,0.747318227137962,FALSE
"2","CSSwP",3.78790648328683,0.754580629442535,21.8975603995728,0.0734866993869384,0.681093930055596,FALSE
"2","CSSwS",3.35042459902547,0.597290907533324,18.7005272840241,0.0734396746507426,0.523851232882582,FALSE
"3","CCaWwS",3.370280805662,0.435243712618977,14.5838124351125,-0.0957443723241738,0.530988084943151,TRUE
"3","CCSSw",3.792484375,0.782060317370184,22.071198259139,0.0993209705185064,0.682739346851677,TRUE
"3","COWwS",3.95734375,0.547804522878805,17.0856319835933,-0.194189695344348,0.741994218223152,TRUE
"3","CPWwS",3.74956913811695,0.557952716364035,17.2169482245577,-0.109361745846527,0.667314462210562,FALSE
"3","CS",4.002375,0.897461381567161,24.5312083741668,0.139281726959534,0.758179654607627,FALSE
"3","CSSwP",3.72340637314567,0.794460696497852,23.3172119873647,0.136549832190628,0.657910864307224,FALSE
"3","CSSwS",3.36334375,0.594923650442387,18.5828694774344,0.0664289289548989,0.528494721487488,FALSE
"4","CCaWwS",3.33092102106472,0.377246703378923,13.0303039766412,-0.139594421626276,0.516841125005199,TRUE
"4","CCSSw",3.87301985872466,0.870163118723537,23.3227926327964,0.158477163716005,0.711685955007532,TRUE
"4","COWwS",4.04132973468195,0.557053459538936,16.0943819964198,-0.215127569227055,0.772181028765991,TRUE
"4","CPWwS",3.66463787150759,0.622684207269722,18.2283926703255,-0.0141036847754857,0.636787892045208,FALSE
"4","CS",4.2255625,0.885956141624115,22.7223069585552,0.0475569265321595,0.838399215091955,FALSE
"4","CSSwP",3.70655443170082,0.691113824204371,19.9606315223714,0.0392599986471369,0.651853825557234,FALSE
"4","CSSwS",3.30686018200476,0.605689542999815,18.7041045463276,0.0974965274733028,0.508193015526513,FALSE
